Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Bosnia and Herzegovina,BIH,2016,1,0,1,1,0,0,0,0,0,"4,994.97"
Bosnia and Herzegovina,BIH,2017,1,0,1,1,0,0,0,0,0,"5,394.27"
Bosnia and Herzegovina,BIH,2018,1,0,1,1,0,0,0,0,0,"6,070.35"
Bosnia and Herzegovina,BIH,2019,1,0,1,1,0,0,0,0,0,"6,119.76"
Botswana,BWA,2015,175,58,59,172,0,9,8,114,5,"6,402.91"
Botswana,BWA,2016,166,55,56,163,0,8,8,107,5,"6,982.92"
Botswana,BWA,2017,165,54,55,162,0,8,8,106,5,"7,296.09"
Botswana,BWA,2018,156,51,51,151,0,7,7,98,5,"7,503.88"
Botswana,BWA,2019,147,48,48,143,0,7,7,92,4,"7,247.43"
Brazil,BRA,2015,1752,286,909,1590,2,39,31,1038,50,"8,813.99"
Brazil,BRA,2016,1599,258,828,1432,2,36,29,927,44,"8,710.06"
Brazil,BRA,2017,1467,234,759,1297,1,33,27,833,39,"9,928.68"
Brazil,BRA,2018,1378,217,715,1201,1,32,26,767,36,"9,151.38"
Brazil,BRA,2019,1288,201,671,1108,1,30,24,703,33,"8,876.06"
Bulgaria,BGR,2015,5,0,3,3,0,1,0,0,0,"7,074.68"
Bulgaria,BGR,2016,5,0,3,3,0,1,0,0,0,"7,569.48"
Bulgaria,BGR,2017,5,0,3,3,0,0,0,0,0,"8,366.29"
